,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
2297,Ederson Santana de Moraes,GK,Man City,5.8,1,1,26,0,10.0,347,0.01,0.01,0.0,0.96,37,1,0,6.6,55.8,2024-09-14T14:00:00Z,90,4,0,0,0,0,4,5,826949,1,1,2,0.0,7,-29584,45244,74828,55,True,0,4
2298,Andrew Omobamidele,DEF,Nott'm Forest,-0.5,0,0,0,0,0.0,440,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,12,0,0,0,0,4,0,6308,0,1,0,0.0,0,-544,122,666,44,False,0,4
2299,Norberto Bercique Gomes Betuncal,FWD,Everton,1.0,0,0,1,0,0.0,218,0.0,0.0,0.0,0.31,31,0,0,0.0,0.0,2024-09-14T16:30:00Z,9,2,0,0,0,0,4,0,78459,0,2,3,0.0,1,13183,31216,18033,50,False,0,4
2300,Diogo Dalot Teixeira,DEF,Man Utd,4.8,1,2,40,1,24.8,369,0.48,0.48,0.0,1.12,38,0,0,5.7,24.2,2024-09-14T11:30:00Z,90,17,0,0,0,0,4,0,787714,1,3,0,8.0,11,-38054,63003,101057,50,False,0,4
2301,Pape Matar Sarr,MID,Spurs,0.0,0,0,7,0,12.1,499,0.01,0.06,0.05,0.0,39,0,0,2.8,8.2,2024-09-15T13:00:00Z,22,1,0,0,0,0,4,0,22239,0,1,0,8.0,1,-494,4244,4738,49,True,0,4
2302,Danny Welbeck,FWD,Brighton,6.7,0,0,5,1,5.5,148,0.13,0.31,0.18,0.35,33,0,0,5.7,2.4,2024-09-14T14:00:00Z,84,10,0,0,0,0,4,0,1813240,1,0,0,49.0,2,573565,740161,166596,57,True,0,4
2303,Yankuba Minteh,MID,Brighton,3.5,0,0,6,1,34.1,135,0.2,0.2,0.0,0.21,33,0,0,5.2,5.6,2024-09-14T14:00:00Z,67,10,0,0,0,0,4,0,265071,1,0,0,12.0,2,123451,180124,56673,55,True,1,4
2304,Nathan Aké,DEF,Man City,0.0,0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,4,0,0,0,0,4,0,158393,0,1,2,0.0,0,-39890,4220,44110,54,True,0,4
2305,Bernd Leno,GK,Fulham,2.7,0,0,12,0,0.0,248,0.0,0.0,0.0,0.76,35,1,0,1.9,19.0,2024-09-14T14:00:00Z,90,19,0,0,0,0,4,2,291193,1,1,1,0.0,2,-26129,15099,41228,50,True,0,4
2306,Jamaal Lascelles,DEF,Newcastle,0.0,0,0,0,0,0.0,407,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,20,0,0,0,0,4,0,388,0,2,1,0.0,0,-7,77,84,45,False,0,4
2307,Axel Disasi,DEF,Chelsea,1.5,0,0,23,1,1.3,167,0.0,0.0,0.0,1.55,32,0,0,0.8,6.6,2024-09-14T19:00:00Z,61,3,0,0,0,0,4,0,32983,1,1,0,0.0,6,-3177,2836,6013,44,False,0,4
2308,Ismeal Kabia,MID,Arsenal,2.1,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,18,0,0,0,0,4,0,0,0,1,0,0.0,0,0,0,0,45,False,0,4
2309,Kevin Schade,MID,Brentford,1.5,0,0,8,0,12.0,106,0.02,0.02,0.0,1.49,37,0,0,2.2,8.4,2024-09-14T14:00:00Z,45,13,0,0,0,0,4,0,7320,0,1,2,2.0,1,-364,795,1159,55,False,0,4
2310,Victor Kristiansen,DEF,Leicester,0.5,0,0,4,0,28.7,296,0.05,0.05,0.0,2.55,34,2,0,4.8,18.8,2024-09-14T14:00:00Z,90,7,0,0,0,0,4,0,12760,1,2,2,0.0,1,-280,939,1219,45,False,0,4
2311,Kyle Walker-Peters,DEF,Southampton,1.0,0,0,1,0,1.6,476,0.03,0.03,0.0,2.67,38,3,0,2.1,15.6,2024-09-14T11:30:00Z,90,14,0,0,0,0,4,0,46240,1,3,0,4.0,1,-3346,2817,6163,45,True,0,4
2312,Daniel Bentley,GK,Wolves,-0.5,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,207669,0,2,1,0.0,0,-9614,8566,18180,40,True,0,4
2313,Ivan Toney,FWD,Brentford,0.0,0,0,0,0,0.0,108,0.0,0.0,0.0,0.0,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,13,0,0,0,0,4,0,202713,0,1,2,0.0,0,-190136,0,190136,73,False,0,4
2314,Carlos Soler,MID,West Ham,1.6,0,0,-1,0,0.3,654,0.0,0.0,0.0,0.68,35,0,0,0.8,7.2,2024-09-14T14:00:00Z,20,9,0,0,0,0,4,0,875,0,1,1,0.0,0,538,741,203,50,False,1,4
2315,Antonee Robinson,DEF,Fulham,4.3,0,0,10,0,23.2,255,0.18,0.18,0.0,0.76,35,1,0,6.1,35.6,2024-09-14T14:00:00Z,90,19,0,0,0,0,4,0,1794588,1,1,1,2.0,2,317415,455049,137634,46,True,0,4
2316,Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0.0,66,0.0,0.0,0.0,0.0,32,0,0,0.0,0.0,2024-09-14T19:00:00Z,0,6,0,0,0,0,4,0,850,0,1,0,0.0,0,-182,0,182,50,True,0,4
2317,James Ward-Prowse,MID,Nott'm Forest,0.5,0,0,13,1,1.4,531,0.01,0.01,0.0,0.94,36,0,0,1.2,10.2,2024-09-14T14:00:00Z,90,12,0,0,0,0,4,0,99348,1,1,0,0.0,3,-20957,3373,24330,63,False,0,4
2318,Patson Daka,FWD,Leicester,0.0,0,0,0,0,0.0,289,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,7,0,0,0,0,4,0,16140,0,2,2,0.0,0,-1810,3005,4815,49,False,0,4
2319,Illia Zabarnyi,DEF,Bournemouth,1.8,0,0,8,0,10.5,85,0.01,0.01,0.0,0.78,32,1,0,1.9,8.8,2024-09-14T19:00:00Z,90,6,0,0,0,0,4,0,38452,1,1,0,0.0,2,-6158,1724,7882,45,True,0,4
2320,Gavin Bazunu,GK,Southampton,0.0,0,0,0,0,0.0,454,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,14,0,0,0,0,4,0,17576,0,3,0,0.0,0,-3552,191,3743,44,True,0,4
2321,Sven Botman,DEF,Newcastle,0.0,0,0,0,0,0.0,393,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,20,0,0,0,0,4,0,1488,0,2,1,0.0,0,-120,154,274,45,False,0,4
2322,Hugo Bueno López,DEF,Wolves,0.0,0,0,0,0,0.0,549,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,1096,0,2,1,0.0,0,-189,0,189,45,True,0,4
2323,Danny Ward,GK,Leicester,-0.5,0,0,0,0,0.0,308,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,7,0,0,0,0,4,0,254032,0,2,2,0.0,0,-10279,10815,21094,40,False,0,4
