column_name,percentage,interpolated_value_above,interpolated_value_below
leagues_admin,40,0.697,0.0
leagues_admin,35,0.755,0.0
leagues_admin,30,0.813,0.0
leagues_admin,25,0.872,0.0
leagues_admin,20,0.93,0.0
leagues_admin,15,0.988,0.0
leagues_admin,10,1.354,0.0
leagues_admin,5,1.803,0.0
min_rank_history,100,432.0,11389902.0
min_rank_history,95,72869.958,9978450.396
min_rank_history,90,165823.51,8486687.408
min_rank_history,85,293532.306,7146795.408
min_rank_history,80,461178.625,5967043.604
min_rank_history,75,668185.0,5009524.0
min_rank_history,70,905705.396,4387579.312
min_rank_history,65,1197995.184,3888721.265
min_rank_history,60,1522678.653,3336332.612
min_rank_history,55,1892588.521,2839646.042
min_rank_history,50,2321316.0,2317281.0
min_rank_history,45,2840856.542,1886386.833
min_rank_history,40,3342887.367,1512561.204
min_rank_history,35,3895195.959,1194275.918
min_rank_history,30,4396264.333,903741.646
min_rank_history,25,5021634.0,663817.0
min_rank_history,20,6006295.958,459456.25
min_rank_history,15,7152708.061,293114.224
min_rank_history,10,8512841.878,165680.449
min_rank_history,5,9990777.542,71042.312
max_total_points_history,100,4.0,2665.0
max_total_points_history,95,1317.021,2470.396
max_total_points_history,90,1613.4,2406.592
max_total_points_history,85,1774.794,2362.598
max_total_points_history,80,1863.594,2323.868
max_total_points_history,75,1934.0,2292.331
max_total_points_history,70,1987.519,2254.469
max_total_points_history,65,2028.241,2229.699
max_total_points_history,60,2065.6,2197.138
max_total_points_history,55,2102.281,2163.6
max_total_points_history,50,2133.0,2132.0
max_total_points_history,45,2164.6,2101.281
max_total_points_history,40,2199.069,2064.2
max_total_points_history,35,2230.699,2027.241
max_total_points_history,30,2255.469,1986.519
max_total_points_history,25,2293.331,1933.0
max_total_points_history,20,2324.868,1862.198
max_total_points_history,15,2363.598,1772.897
max_total_points_history,10,2408.592,1611.2
max_total_points_history,5,2471.396,1313.604
earliest_season_year_history,100,2006.0,2023.0
earliest_season_year_history,95,2011.195,2022.762
earliest_season_year_history,90,2013.593,2022.524
earliest_season_year_history,85,2016.008,2022.286
earliest_season_year_history,80,2017.021,2022.047
earliest_season_year_history,75,2017.906,2021.789
earliest_season_year_history,70,2018.798,2021.526
earliest_season_year_history,65,2019.489,2021.263
earliest_season_year_history,60,2020.085,2021.001
earliest_season_year_history,55,2020.527,2020.483
earliest_season_year_history,50,2020.97,2019.97
earliest_season_year_history,45,2021.483,2019.527
earliest_season_year_history,40,2022.001,2019.085
earliest_season_year_history,35,2022.263,2018.489
earliest_season_year_history,30,2022.526,2017.798
earliest_season_year_history,25,2022.789,2016.906
earliest_season_year_history,20,2023.0,2016.021
earliest_season_year_history,15,2023.0,2015.008
earliest_season_year_history,10,2023.0,2012.593
earliest_season_year_history,5,2023.0,2010.195
career_break_history,100,0.0,9.0
career_break_history,95,0.1,1.824
career_break_history,90,0.2,1.194
career_break_history,85,0.3,0.91
career_break_history,80,0.4,0.78
career_break_history,75,0.5,0.65
career_break_history,70,0.6,0.52
career_break_history,65,0.7,0.39
career_break_history,60,0.8,0.26
career_break_history,55,0.9,0.13
career_break_history,50,1.0,0.0
career_break_history,45,1.13,0.0
career_break_history,40,1.26,0.0
career_break_history,35,1.39,0.0
career_break_history,30,1.52,0.0
career_break_history,25,1.65,0.0
career_break_history,20,1.78,0.0
career_break_history,15,1.91,0.0
career_break_history,10,2.194,0.0
career_break_history,5,2.824,0.0
seasons_played_in,100,1.0,18.0
seasons_played_in,95,1.181,11.88
seasons_played_in,90,1.362,9.355
seasons_played_in,85,1.542,7.553
seasons_played_in,80,1.723,6.451
seasons_played_in,75,1.904,5.496
seasons_played_in,70,2.135,4.67
seasons_played_in,65,2.424,3.944
seasons_played_in,60,2.713,3.429
seasons_played_in,55,3.002,2.923
seasons_played_in,50,3.462,2.462
seasons_played_in,45,3.923,2.002
seasons_played_in,40,4.429,1.713
seasons_played_in,35,4.944,1.424
seasons_played_in,30,5.67,1.135
seasons_played_in,25,6.496,1.0
seasons_played_in,20,7.451,1.0
seasons_played_in,15,8.553,1.0
seasons_played_in,10,10.355,1.0
seasons_played_in,5,12.88,1.0
yoyo_score,100,2241.0,5748219.667
yoyo_score,95,242557.114,2887596.864
yoyo_score,90,374643.667,2315434.654
yoyo_score,85,476395.131,2020226.597
yoyo_score,80,589378.256,1793501.937
yoyo_score,75,667610.114,1642912.416
yoyo_score,70,771403.785,1510144.224
yoyo_score,65,848962.018,1391353.417
yoyo_score,60,928841.05,1278738.881
yoyo_score,55,1013705.563,1190648.362
yoyo_score,50,1108857.75,1108477.978
yoyo_score,45,1192648.242,1012957.181
yoyo_score,40,1280341.013,925957.921
yoyo_score,35,1393009.811,847637.598
yoyo_score,30,1518035.381,768526.243
yoyo_score,25,1647989.396,666637.501
yoyo_score,20,1795421.598,587651.358
yoyo_score,15,2024601.037,476038.767
yoyo_score,10,2327657.164,374533.805
yoyo_score,5,2890725.909,241850.841
rising_score,100,-9290710.0,10065148.0
rising_score,95,-2215785.727,2961030.205
rising_score,90,-1119844.612,1699688.896
rising_score,85,-778749.551,1046026.521
rising_score,80,-573497.84,669767.577
rising_score,75,-454314.713,453168.067
rising_score,70,-346906.03,256243.807
rising_score,65,-253434.431,153808.682
rising_score,60,-195593.763,52343.16
rising_score,55,-138347.01,-17334.421
rising_score,50,-74443.052,-76157.722
rising_score,45,-15911.736,-140049.903
rising_score,40,53818.685,-197531.657
rising_score,35,154996.047,-254156.346
rising_score,30,256352.015,-347813.493
rising_score,25,456135.419,-456099.481
rising_score,20,671872.956,-576917.786
rising_score,15,1047128.791,-780251.243
rising_score,10,1715274.306,-1126812.276
rising_score,5,2972928.932,-2217900.545
assists,100,0.0,0.0
assists,95,0.0,0.0
assists,90,0.0,0.0
assists,85,0.0,0.0
assists,80,0.0,0.0
assists,75,0.0,0.0
assists,70,0.0,0.0
assists,65,0.0,0.0
assists,60,0.0,0.0
assists,55,0.0,0.0
assists,50,0.0,0.0
assists,45,0.0,0.0
assists,40,0.0,0.0
assists,35,0.0,0.0
assists,30,0.0,0.0
assists,25,0.0,0.0
assists,20,0.0,0.0
assists,15,0.0,0.0
assists,10,0.0,0.0
assists,5,0.0,0.0
bonus,100,0.0,0.0
bonus,95,0.0,0.0
bonus,90,0.0,0.0
bonus,85,0.0,0.0
bonus,80,0.0,0.0
bonus,75,0.0,0.0
bonus,70,0.0,0.0
bonus,65,0.0,0.0
bonus,60,0.0,0.0
bonus,55,0.0,0.0
bonus,50,0.0,0.0
bonus,45,0.0,0.0
bonus,40,0.0,0.0
bonus,35,0.0,0.0
bonus,30,0.0,0.0
bonus,25,0.0,0.0
bonus,20,0.0,0.0
bonus,15,0.0,0.0
bonus,10,0.0,0.0
bonus,5,0.0,0.0
bps,100,0.0,0.0
bps,95,0.0,0.0
bps,90,0.0,0.0
bps,85,0.0,0.0
bps,80,0.0,0.0
bps,75,0.0,0.0
bps,70,0.0,0.0
bps,65,0.0,0.0
bps,60,0.0,0.0
bps,55,0.0,0.0
bps,50,0.0,0.0
bps,45,0.0,0.0
bps,40,0.0,0.0
bps,35,0.0,0.0
bps,30,0.0,0.0
bps,25,0.0,0.0
bps,20,0.0,0.0
bps,15,0.0,0.0
bps,10,0.0,0.0
bps,5,0.0,0.0
clean_sheets,100,0.0,0.0
clean_sheets,95,0.0,0.0
clean_sheets,90,0.0,0.0
clean_sheets,85,0.0,0.0
clean_sheets,80,0.0,0.0
clean_sheets,75,0.0,0.0
clean_sheets,70,0.0,0.0
clean_sheets,65,0.0,0.0
clean_sheets,60,0.0,0.0
clean_sheets,55,0.0,0.0
clean_sheets,50,0.0,0.0
clean_sheets,45,0.0,0.0
clean_sheets,40,0.0,0.0
clean_sheets,35,0.0,0.0
clean_sheets,30,0.0,0.0
clean_sheets,25,0.0,0.0
clean_sheets,20,0.0,0.0
clean_sheets,15,0.0,0.0
clean_sheets,10,0.0,0.0
clean_sheets,5,0.0,0.0
goals_conceded,100,0.0,0.0
goals_conceded,95,0.0,0.0
goals_conceded,90,0.0,0.0
goals_conceded,85,0.0,0.0
goals_conceded,80,0.0,0.0
goals_conceded,75,0.0,0.0
goals_conceded,70,0.0,0.0
goals_conceded,65,0.0,0.0
goals_conceded,60,0.0,0.0
goals_conceded,55,0.0,0.0
goals_conceded,50,0.0,0.0
goals_conceded,45,0.0,0.0
goals_conceded,40,0.0,0.0
goals_conceded,35,0.0,0.0
goals_conceded,30,0.0,0.0
goals_conceded,25,0.0,0.0
goals_conceded,20,0.0,0.0
goals_conceded,15,0.0,0.0
goals_conceded,10,0.0,0.0
goals_conceded,5,0.0,0.0
goals_scored,100,0.0,0.0
goals_scored,95,0.0,0.0
goals_scored,90,0.0,0.0
goals_scored,85,0.0,0.0
goals_scored,80,0.0,0.0
goals_scored,75,0.0,0.0
goals_scored,70,0.0,0.0
goals_scored,65,0.0,0.0
goals_scored,60,0.0,0.0
goals_scored,55,0.0,0.0
goals_scored,50,0.0,0.0
goals_scored,45,0.0,0.0
goals_scored,40,0.0,0.0
goals_scored,35,0.0,0.0
goals_scored,30,0.0,0.0
goals_scored,25,0.0,0.0
goals_scored,20,0.0,0.0
goals_scored,15,0.0,0.0
goals_scored,10,0.0,0.0
goals_scored,5,0.0,0.0
own_goals,100,0.0,0.0
own_goals,95,0.0,0.0
own_goals,90,0.0,0.0
own_goals,85,0.0,0.0
own_goals,80,0.0,0.0
own_goals,75,0.0,0.0
own_goals,70,0.0,0.0
own_goals,65,0.0,0.0
own_goals,60,0.0,0.0
own_goals,55,0.0,0.0
own_goals,50,0.0,0.0
own_goals,45,0.0,0.0
own_goals,40,0.0,0.0
own_goals,35,0.0,0.0
own_goals,30,0.0,0.0
own_goals,25,0.0,0.0
own_goals,20,0.0,0.0
own_goals,15,0.0,0.0
own_goals,10,0.0,0.0
own_goals,5,0.0,0.0
penalties_missed,100,0.0,0.0
penalties_missed,95,0.0,0.0
penalties_missed,90,0.0,0.0
penalties_missed,85,0.0,0.0
penalties_missed,80,0.0,0.0
penalties_missed,75,0.0,0.0
penalties_missed,70,0.0,0.0
penalties_missed,65,0.0,0.0
penalties_missed,60,0.0,0.0
penalties_missed,55,0.0,0.0
penalties_missed,50,0.0,0.0
penalties_missed,45,0.0,0.0
penalties_missed,40,0.0,0.0
penalties_missed,35,0.0,0.0
penalties_missed,30,0.0,0.0
penalties_missed,25,0.0,0.0
penalties_missed,20,0.0,0.0
penalties_missed,15,0.0,0.0
penalties_missed,10,0.0,0.0
penalties_missed,5,0.0,0.0
penalties_saved,100,0.0,0.0
penalties_saved,95,0.0,0.0
penalties_saved,90,0.0,0.0
penalties_saved,85,0.0,0.0
penalties_saved,80,0.0,0.0
penalties_saved,75,0.0,0.0
penalties_saved,70,0.0,0.0
penalties_saved,65,0.0,0.0
penalties_saved,60,0.0,0.0
penalties_saved,55,0.0,0.0
penalties_saved,50,0.0,0.0
penalties_saved,45,0.0,0.0
penalties_saved,40,0.0,0.0
penalties_saved,35,0.0,0.0
penalties_saved,30,0.0,0.0
penalties_saved,25,0.0,0.0
penalties_saved,20,0.0,0.0
penalties_saved,15,0.0,0.0
penalties_saved,10,0.0,0.0
penalties_saved,5,0.0,0.0
red_cards,100,0.0,0.0
red_cards,95,0.0,0.0
red_cards,90,0.0,0.0
red_cards,85,0.0,0.0
red_cards,80,0.0,0.0
red_cards,75,0.0,0.0
red_cards,70,0.0,0.0
red_cards,65,0.0,0.0
red_cards,60,0.0,0.0
red_cards,55,0.0,0.0
red_cards,50,0.0,0.0
red_cards,45,0.0,0.0
red_cards,40,0.0,0.0
red_cards,35,0.0,0.0
red_cards,30,0.0,0.0
red_cards,25,0.0,0.0
red_cards,20,0.0,0.0
red_cards,15,0.0,0.0
red_cards,10,0.0,0.0
red_cards,5,0.0,0.0
yellow_cards,100,0.0,0.0
yellow_cards,95,0.0,0.0
yellow_cards,90,0.0,0.0
yellow_cards,85,0.0,0.0
yellow_cards,80,0.0,0.0
yellow_cards,75,0.0,0.0
yellow_cards,70,0.0,0.0
yellow_cards,65,0.0,0.0
yellow_cards,60,0.0,0.0
yellow_cards,55,0.0,0.0
yellow_cards,50,0.0,0.0
yellow_cards,45,0.0,0.0
yellow_cards,40,0.0,0.0
yellow_cards,35,0.0,0.0
yellow_cards,30,0.0,0.0
