column_name,percentage,interpolated_value_above,interpolated_value_below
rival_team_player_Spurs,30,0.0,0.0
rival_team_player_Spurs,25,0.0,0.0
rival_team_player_Spurs,20,0.0,0.0
rival_team_player_Spurs,15,0.0,0.0
rival_team_player_Spurs,10,0.0,0.0
rival_team_player_Spurs,5,0.0,0.0
rival_team_player_Newcastle,100,0.0,0.0
rival_team_player_Newcastle,95,0.0,0.0
rival_team_player_Newcastle,90,0.0,0.0
rival_team_player_Newcastle,85,0.0,0.0
rival_team_player_Newcastle,80,0.0,0.0
rival_team_player_Newcastle,75,0.0,0.0
rival_team_player_Newcastle,70,0.0,0.0
rival_team_player_Newcastle,65,0.0,0.0
rival_team_player_Newcastle,60,0.0,0.0
rival_team_player_Newcastle,55,0.0,0.0
rival_team_player_Newcastle,50,0.0,0.0
rival_team_player_Newcastle,45,0.0,0.0
rival_team_player_Newcastle,40,0.0,0.0
rival_team_player_Newcastle,35,0.0,0.0
rival_team_player_Newcastle,30,0.0,0.0
rival_team_player_Newcastle,25,0.0,0.0
rival_team_player_Newcastle,20,0.0,0.0
rival_team_player_Newcastle,15,0.0,0.0
rival_team_player_Newcastle,10,0.0,0.0
rival_team_player_Newcastle,5,0.0,0.0
rival_team_player_Aston Villa,100,0.0,0.0
rival_team_player_Aston Villa,95,0.0,0.0
rival_team_player_Aston Villa,90,0.0,0.0
rival_team_player_Aston Villa,85,0.0,0.0
rival_team_player_Aston Villa,80,0.0,0.0
rival_team_player_Aston Villa,75,0.0,0.0
rival_team_player_Aston Villa,70,0.0,0.0
rival_team_player_Aston Villa,65,0.0,0.0
rival_team_player_Aston Villa,60,0.0,0.0
rival_team_player_Aston Villa,55,0.0,0.0
rival_team_player_Aston Villa,50,0.0,0.0
rival_team_player_Aston Villa,45,0.0,0.0
rival_team_player_Aston Villa,40,0.0,0.0
rival_team_player_Aston Villa,35,0.0,0.0
rival_team_player_Aston Villa,30,0.0,0.0
rival_team_player_Aston Villa,25,0.0,0.0
rival_team_player_Aston Villa,20,0.0,0.0
rival_team_player_Aston Villa,15,0.0,0.0
rival_team_player_Aston Villa,10,0.0,0.0
rival_team_player_Aston Villa,5,0.0,0.0
rival_team_player_Brighton,100,0.0,0.0
rival_team_player_Brighton,95,0.0,0.0
rival_team_player_Brighton,90,0.0,0.0
rival_team_player_Brighton,85,0.0,0.0
rival_team_player_Brighton,80,0.0,0.0
rival_team_player_Brighton,75,0.0,0.0
rival_team_player_Brighton,70,0.0,0.0
rival_team_player_Brighton,65,0.0,0.0
rival_team_player_Brighton,60,0.0,0.0
rival_team_player_Brighton,55,0.0,0.0
rival_team_player_Brighton,50,0.0,0.0
rival_team_player_Brighton,45,0.0,0.0
rival_team_player_Brighton,40,0.0,0.0
rival_team_player_Brighton,35,0.0,0.0
rival_team_player_Brighton,30,0.0,0.0
rival_team_player_Brighton,25,0.0,0.0
rival_team_player_Brighton,20,0.0,0.0
rival_team_player_Brighton,15,0.0,0.0
rival_team_player_Brighton,10,0.0,0.0
rival_team_player_Brighton,5,0.0,0.0
rival_team_player_Everton,100,0.0,0.0
rival_team_player_Everton,95,0.0,0.0
rival_team_player_Everton,90,0.0,0.0
rival_team_player_Everton,85,0.0,0.0
rival_team_player_Everton,80,0.0,0.0
rival_team_player_Everton,75,0.0,0.0
rival_team_player_Everton,70,0.0,0.0
rival_team_player_Everton,65,0.0,0.0
rival_team_player_Everton,60,0.0,0.0
rival_team_player_Everton,55,0.0,0.0
rival_team_player_Everton,50,0.0,0.0
rival_team_player_Everton,45,0.0,0.0
rival_team_player_Everton,40,0.0,0.0
rival_team_player_Everton,35,0.0,0.0
rival_team_player_Everton,30,0.0,0.0
rival_team_player_Everton,25,0.0,0.0
rival_team_player_Everton,20,0.0,0.0
rival_team_player_Everton,15,0.0,0.0
rival_team_player_Everton,10,0.0,0.0
rival_team_player_Everton,5,0.0,0.0
rival_team_player_Fulham,100,0.0,0.0
rival_team_player_Fulham,95,0.0,0.0
rival_team_player_Fulham,90,0.0,0.0
rival_team_player_Fulham,85,0.0,0.0
rival_team_player_Fulham,80,0.0,0.0
rival_team_player_Fulham,75,0.0,0.0
rival_team_player_Fulham,70,0.0,0.0
rival_team_player_Fulham,65,0.0,0.0
rival_team_player_Fulham,60,0.0,0.0
rival_team_player_Fulham,55,0.0,0.0
rival_team_player_Fulham,50,0.0,0.0
rival_team_player_Fulham,45,0.0,0.0
rival_team_player_Fulham,40,0.0,0.0
rival_team_player_Fulham,35,0.0,0.0
rival_team_player_Fulham,30,0.0,0.0
rival_team_player_Fulham,25,0.0,0.0
rival_team_player_Fulham,20,0.0,0.0
rival_team_player_Fulham,15,0.0,0.0
rival_team_player_Fulham,10,0.0,0.0
rival_team_player_Fulham,5,0.0,0.0
rival_team_player_Brentford,100,0.0,0.0
rival_team_player_Brentford,95,0.0,0.0
rival_team_player_Brentford,90,0.0,0.0
rival_team_player_Brentford,85,0.0,0.0
rival_team_player_Brentford,80,0.0,0.0
rival_team_player_Brentford,75,0.0,0.0
rival_team_player_Brentford,70,0.0,0.0
rival_team_player_Brentford,65,0.0,0.0
rival_team_player_Brentford,60,0.0,0.0
rival_team_player_Brentford,55,0.0,0.0
rival_team_player_Brentford,50,0.0,0.0
rival_team_player_Brentford,45,0.0,0.0
rival_team_player_Brentford,40,0.0,0.0
rival_team_player_Brentford,35,0.0,0.0
rival_team_player_Brentford,30,0.0,0.0
rival_team_player_Brentford,25,0.0,0.0
rival_team_player_Brentford,20,0.0,0.0
rival_team_player_Brentford,15,0.0,0.0
rival_team_player_Brentford,10,0.0,0.0
rival_team_player_Brentford,5,0.0,0.0
rival_team_player_Southampton,100,0.0,0.0
rival_team_player_Southampton,95,0.0,0.0
rival_team_player_Southampton,90,0.0,0.0
rival_team_player_Southampton,85,0.0,0.0
rival_team_player_Southampton,80,0.0,0.0
rival_team_player_Southampton,75,0.0,0.0
rival_team_player_Southampton,70,0.0,0.0
rival_team_player_Southampton,65,0.0,0.0
rival_team_player_Southampton,60,0.0,0.0
rival_team_player_Southampton,55,0.0,0.0
rival_team_player_Southampton,50,0.0,0.0
rival_team_player_Southampton,45,0.0,0.0
rival_team_player_Southampton,40,0.0,0.0
rival_team_player_Southampton,35,0.0,0.0
rival_team_player_Southampton,30,0.0,0.0
rival_team_player_Southampton,25,0.0,0.0
rival_team_player_Southampton,20,0.0,0.0
rival_team_player_Southampton,15,0.0,0.0
rival_team_player_Southampton,10,0.0,0.0
rival_team_player_Southampton,5,0.0,0.0
rival_team_player_Nott'm Forest,100,0.0,0.0
rival_team_player_Nott'm Forest,95,0.0,0.0
rival_team_player_Nott'm Forest,90,0.0,0.0
rival_team_player_Nott'm Forest,85,0.0,0.0
rival_team_player_Nott'm Forest,80,0.0,0.0
rival_team_player_Nott'm Forest,75,0.0,0.0
rival_team_player_Nott'm Forest,70,0.0,0.0
rival_team_player_Nott'm Forest,65,0.0,0.0
rival_team_player_Nott'm Forest,60,0.0,0.0
rival_team_player_Nott'm Forest,55,0.0,0.0
rival_team_player_Nott'm Forest,50,0.0,0.0
rival_team_player_Nott'm Forest,45,0.0,0.0
rival_team_player_Nott'm Forest,40,0.0,0.0
rival_team_player_Nott'm Forest,35,0.0,0.0
rival_team_player_Nott'm Forest,30,0.0,0.0
rival_team_player_Nott'm Forest,25,0.0,0.0
rival_team_player_Nott'm Forest,20,0.0,0.0
rival_team_player_Nott'm Forest,15,0.0,0.0
rival_team_player_Nott'm Forest,10,0.0,0.0
rival_team_player_Nott'm Forest,5,0.0,0.0
rival_team_player_Wolves,100,0.0,0.0
rival_team_player_Wolves,95,0.0,0.0
rival_team_player_Wolves,90,0.0,0.0
rival_team_player_Wolves,85,0.0,0.0
rival_team_player_Wolves,80,0.0,0.0
rival_team_player_Wolves,75,0.0,0.0
rival_team_player_Wolves,70,0.0,0.0
rival_team_player_Wolves,65,0.0,0.0
rival_team_player_Wolves,60,0.0,0.0
rival_team_player_Wolves,55,0.0,0.0
rival_team_player_Wolves,50,0.0,0.0
rival_team_player_Wolves,45,0.0,0.0
rival_team_player_Wolves,40,0.0,0.0
rival_team_player_Wolves,35,0.0,0.0
rival_team_player_Wolves,30,0.0,0.0
rival_team_player_Wolves,25,0.0,0.0
rival_team_player_Wolves,20,0.0,0.0
rival_team_player_Wolves,15,0.0,0.0
rival_team_player_Wolves,10,0.0,0.0
rival_team_player_Wolves,5,0.0,0.0
rival_team_player_Crystal Palace,100,0.0,0.0
rival_team_player_Crystal Palace,95,0.0,0.0
rival_team_player_Crystal Palace,90,0.0,0.0
rival_team_player_Crystal Palace,85,0.0,0.0
rival_team_player_Crystal Palace,80,0.0,0.0
rival_team_player_Crystal Palace,75,0.0,0.0
rival_team_player_Crystal Palace,70,0.0,0.0
rival_team_player_Crystal Palace,65,0.0,0.0
rival_team_player_Crystal Palace,60,0.0,0.0
rival_team_player_Crystal Palace,55,0.0,0.0
rival_team_player_Crystal Palace,50,0.0,0.0
rival_team_player_Crystal Palace,45,0.0,0.0
rival_team_player_Crystal Palace,40,0.0,0.0
rival_team_player_Crystal Palace,35,0.0,0.0
rival_team_player_Crystal Palace,30,0.0,0.0
rival_team_player_Crystal Palace,25,0.0,0.0
rival_team_player_Crystal Palace,20,0.0,0.0
rival_team_player_Crystal Palace,15,0.0,0.0
rival_team_player_Crystal Palace,10,0.0,0.0
rival_team_player_Crystal Palace,5,0.0,0.0
rival_team_player_Bournemouth,100,0.0,0.0
rival_team_player_Bournemouth,95,0.0,0.0
rival_team_player_Bournemouth,90,0.0,0.0
rival_team_player_Bournemouth,85,0.0,0.0
rival_team_player_Bournemouth,80,0.0,0.0
rival_team_player_Bournemouth,75,0.0,0.0
rival_team_player_Bournemouth,70,0.0,0.0
rival_team_player_Bournemouth,65,0.0,0.0
rival_team_player_Bournemouth,60,0.0,0.0
rival_team_player_Bournemouth,55,0.0,0.0
rival_team_player_Bournemouth,50,0.0,0.0
rival_team_player_Bournemouth,45,0.0,0.0
rival_team_player_Bournemouth,40,0.0,0.0
rival_team_player_Bournemouth,35,0.0,0.0
rival_team_player_Bournemouth,30,0.0,0.0
rival_team_player_Bournemouth,25,0.0,0.0
rival_team_player_Bournemouth,20,0.0,0.0
rival_team_player_Bournemouth,15,0.0,0.0
rival_team_player_Bournemouth,10,0.0,0.0
rival_team_player_Bournemouth,5,0.0,0.0
rival_team_player_Leicester,100,0.0,0.0
rival_team_player_Leicester,95,0.0,0.0
rival_team_player_Leicester,90,0.0,0.0
rival_team_player_Leicester,85,0.0,0.0
rival_team_player_Leicester,80,0.0,0.0
rival_team_player_Leicester,75,0.0,0.0
rival_team_player_Leicester,70,0.0,0.0
rival_team_player_Leicester,65,0.0,0.0
rival_team_player_Leicester,60,0.0,0.0
rival_team_player_Leicester,55,0.0,0.0
rival_team_player_Leicester,50,0.0,0.0
rival_team_player_Leicester,45,0.0,0.0
rival_team_player_Leicester,40,0.0,0.0
rival_team_player_Leicester,35,0.0,0.0
rival_team_player_Leicester,30,0.0,0.0
rival_team_player_Leicester,25,0.0,0.0
rival_team_player_Leicester,20,0.0,0.0
rival_team_player_Leicester,15,0.0,0.0
rival_team_player_Leicester,10,0.0,0.0
rival_team_player_Leicester,5,0.0,0.0
total_players_starters,100,0.0,0.0
total_players_starters,95,0.0,0.0
total_players_starters,90,0.0,0.0
total_players_starters,85,0.0,0.0
total_players_starters,80,0.0,0.0
total_players_starters,75,0.0,0.0
total_players_starters,70,0.0,0.0
total_players_starters,65,0.0,0.0
total_players_starters,60,0.0,0.0
total_players_starters,55,0.0,0.0
total_players_starters,50,0.0,0.0
total_players_starters,45,0.0,0.0
total_players_starters,40,0.0,0.0
total_players_starters,35,0.0,0.0
total_players_starters,30,0.0,0.0
total_players_starters,25,0.0,0.0
total_players_starters,20,0.0,0.0
total_players_starters,15,0.0,0.0
total_players_starters,10,0.0,0.0
total_players_starters,5,0.0,0.0
total_players_all,100,0.0,0.0
total_players_all,95,0.0,0.0
total_players_all,90,0.0,0.0
total_players_all,85,0.0,0.0
total_players_all,80,0.0,0.0
total_players_all,75,0.0,0.0
total_players_all,70,0.0,0.0
total_players_all,65,0.0,0.0
total_players_all,60,0.0,0.0
total_players_all,55,0.0,0.0
total_players_all,50,0.0,0.0
total_players_all,45,0.0,0.0
total_players_all,40,0.0,0.0
total_players_all,35,0.0,0.0
total_players_all,30,0.0,0.0
total_players_all,25,0.0,0.0
total_players_all,20,0.0,0.0
total_players_all,15,0.0,0.0
total_players_all,10,0.0,0.0
total_players_all,5,0.0,0.0
points_on_bench_total,100,0.0,0.0
points_on_bench_total,95,0.0,0.0
points_on_bench_total,90,0.0,0.0
points_on_bench_total,85,0.0,0.0
points_on_bench_total,80,0.0,0.0
points_on_bench_total,75,0.0,0.0
points_on_bench_total,70,0.0,0.0
points_on_bench_total,65,0.0,0.0
points_on_bench_total,60,0.0,0.0
points_on_bench_total,55,0.0,0.0
points_on_bench_total,50,0.0,0.0
points_on_bench_total,45,0.0,0.0
points_on_bench_total,40,0.0,0.0
points_on_bench_total,35,0.0,0.0
points_on_bench_total,30,0.0,0.0
points_on_bench_total,25,0.0,0.0
points_on_bench_total,20,0.0,0.0
points_on_bench_total,15,0.0,0.0
points_on_bench_total,10,0.0,0.0
points_on_bench_total,5,0.0,0.0
event_transfers_total,100,0.0,0.0
event_transfers_total,95,0.0,0.0
event_transfers_total,90,0.0,0.0
event_transfers_total,85,0.0,0.0
event_transfers_total,80,0.0,0.0
event_transfers_total,75,0.0,0.0
event_transfers_total,70,0.0,0.0
event_transfers_total,65,0.0,0.0
event_transfers_total,60,0.0,0.0
event_transfers_total,55,0.0,0.0
event_transfers_total,50,0.0,0.0
event_transfers_total,45,0.0,0.0
event_transfers_total,40,0.0,0.0
event_transfers_total,35,0.0,0.0
event_transfers_total,30,0.0,0.0
event_transfers_total,25,0.0,0.0
event_transfers_total,20,0.0,0.0
event_transfers_total,15,0.0,0.0
event_transfers_total,10,0.0,0.0
event_transfers_total,5,0.0,0.0
event_transfers_cost_total,100,0.0,0.0
event_transfers_cost_total,95,0.0,0.0
event_transfers_cost_total,90,0.0,0.0
event_transfers_cost_total,85,0.0,0.0
event_transfers_cost_total,80,0.0,0.0
event_transfers_cost_total,75,0.0,0.0
event_transfers_cost_total,70,0.0,0.0
event_transfers_cost_total,65,0.0,0.0
event_transfers_cost_total,60,0.0,0.0
event_transfers_cost_total,55,0.0,0.0
event_transfers_cost_total,50,0.0,0.0
event_transfers_cost_total,45,0.0,0.0
event_transfers_cost_total,40,0.0,0.0
event_transfers_cost_total,35,0.0,0.0
event_transfers_cost_total,30,0.0,0.0
event_transfers_cost_total,25,0.0,0.0
event_transfers_cost_total,20,0.0,0.0
event_transfers_cost_total,15,0.0,0.0
event_transfers_cost_total,10,0.0,0.0
event_transfers_cost_total,5,0.0,0.0
bank_mean,100,0.0,0.0
bank_mean,95,0.0,0.0
bank_mean,90,0.0,0.0
bank_mean,85,0.0,0.0
bank_mean,80,0.0,0.0
bank_mean,75,0.0,0.0
bank_mean,70,0.0,0.0
bank_mean,65,0.0,0.0
bank_mean,60,0.0,0.0
bank_mean,55,0.0,0.0
bank_mean,50,0.0,0.0
bank_mean,45,0.0,0.0
bank_mean,40,0.0,0.0
bank_mean,35,0.0,0.0
bank_mean,30,0.0,0.0
bank_mean,25,0.0,0.0
bank_mean,20,0.0,0.0
bank_mean,15,0.0,0.0
bank_mean,10,0.0,0.0
bank_mean,5,0.0,0.0
bank_latest,100,0.0,0.0
bank_latest,95,0.0,0.0
bank_latest,90,0.0,0.0
bank_latest,85,0.0,0.0
bank_latest,80,0.0,0.0
bank_latest,75,0.0,0.0
bank_latest,70,0.0,0.0
bank_latest,65,0.0,0.0
bank_latest,60,0.0,0.0
bank_latest,55,0.0,0.0
bank_latest,50,0.0,0.0
bank_latest,45,0.0,0.0
bank_latest,40,0.0,0.0
bank_latest,35,0.0,0.0
bank_latest,30,0.0,0.0
bank_latest,25,0.0,0.0
bank_latest,20,0.0,0.0
bank_latest,15,0.0,0.0
bank_latest,10,0.0,0.0
bank_latest,5,0.0,0.0
value_latest,100,0.0,0.0
value_latest,95,0.0,0.0
value_latest,90,0.0,0.0
value_latest,85,0.0,0.0
value_latest,80,0.0,0.0
value_latest,75,0.0,0.0
value_latest,70,0.0,0.0
value_latest,65,0.0,0.0
value_latest,60,0.0,0.0
value_latest,55,0.0,0.0
value_latest,50,0.0,0.0
value_latest,45,0.0,0.0
value_latest,40,0.0,0.0
value_latest,35,0.0,0.0
value_latest,30,0.0,0.0
value_latest,25,0.0,0.0
value_latest,20,0.0,0.0
value_latest,15,0.0,0.0
value_latest,10,0.0,0.0
value_latest,5,0.0,0.0
total_points_latest,100,0.0,0.0
total_points_latest,95,0.0,0.0
total_points_latest,90,0.0,0.0
total_points_latest,85,0.0,0.0
total_points_latest,80,0.0,0.0
total_points_latest,75,0.0,0.0
total_points_latest,70,0.0,0.0
total_points_latest,65,0.0,0.0
total_points_latest,60,0.0,0.0
total_points_latest,55,0.0,0.0
total_points_latest,50,0.0,0.0
total_points_latest,45,0.0,0.0
total_points_latest,40,0.0,0.0
total_points_latest,35,0.0,0.0
total_points_latest,30,0.0,0.0
total_points_latest,25,0.0,0.0
total_points_latest,20,0.0,0.0
total_points_latest,15,0.0,0.0
total_points_latest,10,0.0,0.0
total_points_latest,5,0.0,0.0
points_on_bench_percentage,100,0.0,0.0
points_on_bench_percentage,95,0.0,0.0
points_on_bench_percentage,90,0.0,0.0
points_on_bench_percentage,85,0.0,0.0
points_on_bench_percentage,80,0.0,0.0
points_on_bench_percentage,75,0.0,0.0
points_on_bench_percentage,70,0.0,0.0
points_on_bench_percentage,65,0.0,0.0
points_on_bench_percentage,60,0.0,0.0
points_on_bench_percentage,55,0.0,0.0
points_on_bench_percentage,50,0.0,0.0
points_on_bench_percentage,45,0.0,0.0
points_on_bench_percentage,40,0.0,0.0
points_on_bench_percentage,35,0.0,0.0
points_on_bench_percentage,30,0.0,0.0
points_on_bench_percentage,25,0.0,0.0
points_on_bench_percentage,20,0.0,0.0
points_on_bench_percentage,15,0.0,0.0
points_on_bench_percentage,10,0.0,0.0
points_on_bench_percentage,5,0.0,0.0
